pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2021-10-14,100.0,-1.65,5.65,"Doval, Camilo",457759,666808,hit_by_pitch,hit_by_pitch,,,,,11.0,Justin Turner hit by pitch.,D,R,R,SF,LAD,B,,,0,0,2021,-0.66,1.29,-1.48,3.55,,,,1,9,Top,,,,,,,2.0208640972513927,-145.7780689329874,-3.5161560193589807,-9.846294435978502,32.030006977651794,-13.103639872399418,3.32,1.51,,,,100.6,2583.0,6.4,660920,457763,527038,456781,446334,543063,573131,592178,596103,54.14,,0.721932,0.7,1.0,0.0,0.0,,62,1,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,223.0,-0.06,0.417,,,,-0.417,,0,0,0.558,0.442,23,36,24,37,1,3,3.0,2.0,,2.0,0.97,0.66,0.66,26.4
SL,2021-10-14,86.2,-1.6,5.69,"Doval, Camilo",669257,666808,field_out,hit_into_play,,,,,4.0,"Will Smith grounds out, shortstop Brandon Crawford to first baseman Wilmer Flores.",D,R,R,SF,LAD,X,6.0,ground_ball,2,1,2021,0.93,-0.17,-0.4,2.25,,,,0,9,Top,102.47,141.16,,,,,0.9716803243436508,-125.62307362659786,-1.6745341587963647,9.690165186789468,23.221225697431983,-33.85806094281618,3.3,1.5,60.0,78.5,4.0,86.7,2405.0,6.3,660920,457763,527038,456781,446334,543063,573131,592178,596103,54.16,0.209,0.206,0.0,1.0,0.0,0.0,2.0,61,4,Slider,1,1,1,1,1,1,1,1,Standard,Standard,53.0,0.058,-0.315,,,0.219,0.315,88.0,0,0,0.5,0.5,23,26,24,26,1,3,3.0,2.0,,2.0,3.21,-0.93,-0.93,28.2
SL,2021-10-14,86.7,-1.68,5.59,"Doval, Camilo",669257,666808,,ball,,,,,11.0,"Will Smith grounds out, shortstop Brandon Crawford to first baseman Wilmer Flores.",D,R,R,SF,LAD,B,,,1,1,2021,0.88,-0.15,-1.03,2.74,,,,0,9,Top,,,,,,,-0.2670677341888824,-126.44288718733468,-0.3953206028123756,9.587993683590526,23.691054473177783,-33.94055292716377,3.24,1.52,,,,87.3,2451.0,6.4,660920,457763,527038,456781,446334,543063,573131,592178,596103,54.15,,,,,,,,61,3,Slider,1,1,1,1,1,1,1,1,Standard,Standard,64.0,0.0,0.058,,,,-0.058,,0,0,0.5,0.5,23,26,24,26,1,3,3.0,2.0,,2.0,3.15,-0.88,-0.88,28.1
SL,2021-10-14,88.5,-1.68,5.44,"Doval, Camilo",669257,666808,,ball,,,,,14.0,"Will Smith grounds out, shortstop Brandon Crawford to first baseman Wilmer Flores.",D,R,R,SF,LAD,B,,,0,1,2021,0.52,-0.03,1.21,1.54,,,,0,9,Top,,,,,,,5.958780416431338,-128.77707338570607,-3.4425024336029173,4.700821818448914,24.972090586642647,-31.976976713030663,3.2,1.54,,,,88.8,2531.0,6.4,660920,457763,527038,456781,446334,543063,573131,592178,596103,54.14,,,,,,,,61,2,Slider,1,1,1,1,1,1,1,1,Standard,Standard,57.0,0.0,0.03,,,,-0.03,,0,0,0.5,0.5,23,26,24,26,1,3,3.0,2.0,,2.0,2.92,-0.52,-0.52,25.1
SL,2021-10-14,87.6,-1.33,5.78,"Doval, Camilo",669257,666808,,called_strike,,,,,3.0,"Will Smith grounds out, shortstop Brandon Crawford to first baseman Wilmer Flores.",D,R,R,SF,LAD,S,,,0,0,2021,0.46,-0.12,0.39,3.24,,,,0,9,Top,,,,,,,3.220217482214072,-127.6666929588556,0.1708520500132606,4.4750623987908815,24.0799541799384,-33.73654010710967,3.3,1.6,,,,88.3,2508.0,6.4,660920,457763,527038,456781,446334,543063,573131,592178,596103,54.06,,,,,,,,61,1,Slider,1,1,1,1,1,1,1,1,Standard,Standard,60.0,0.0,-0.042,,,,0.042,,0,0,0.5,0.5,23,26,24,26,1,3,3.0,2.0,,2.0,3.06,-0.46,-0.46,32.4
FC,2021-10-14,100.2,-1.54,5.52,"Doval, Camilo",607208,666808,field_out,hit_into_play,,,,,9.0,Trea Turner flies out to right fielder Austin Slater.,D,R,R,SF,LAD,X,9.0,fly_ball,0,0,2021,-0.58,1.11,0.39,1.9,,572041.0,605141.0,2,8,Top,178.45,85.25,,,,,6.780556088837023,-145.6484358307343,-7.351453882672444,-9.851531094856014,32.09843899191173,-14.893310679358684,3.47,1.59,311.0,89.1,31.0,101.6,2517.0,7.0,660920,457763,527038,456781,446334,543063,573131,592178,596103,53.51,0.04,0.048,0.0,1.0,0.0,0.0,3.0,57,1,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,230.0,0.091,-0.282,,,0.083,0.282,89.1,0,0,0.514,0.486,23,28,24,28,1,3,3.0,2.0,,2.0,1.16,0.58,0.58,23.1
FC,2021-10-11,99.4,-1.54,5.62,"Doval, Camilo",666158,666808,field_out,hit_into_play,,,,,1.0,Gavin Lux flies out sharply to center fielder Steven Duggar.,D,L,R,LAD,SF,X,8.0,fly_ball,1,0,2021,-0.17,0.94,-0.68,3.1,,,,2,9,Bot,97.16,52.77,,,,,2.792565159362637,-144.97165420151438,-3.8281475056143215,-3.0029224600221234,27.81123769022984,-18.215802819445752,3.47,1.59,369.0,106.9,22.0,100.5,2736.0,6.4,660919,457763,592178,456781,446334,543063,664774,621453,573262,54.15,0.9,1.547,0.0,1.0,0.0,0.0,6.0,65,2,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,212.0,-0.044,-0.309,,,2.904,0.309,106.9,-1,-1,0.044,0.044,23,23,24,24,1,0,3.0,2.0,3.0,1.0,1.33,0.17,-0.17,30.0
FC,2021-10-11,99.6,-1.75,5.51,"Doval, Camilo",666158,666808,,ball,,,,,11.0,Gavin Lux flies out sharply to center fielder Steven Duggar.,D,L,R,LAD,SF,B,,,0,0,2021,-0.37,0.98,-1.64,3.31,,,,2,9,Bot,,,,,,,1.1559398293068244,-145.19413192070223,-3.033223503335615,-5.470224114933817,30.06299043027492,-17.777980278173498,3.23,1.49,,,,100.5,2663.0,6.5,660919,457763,592178,456781,446334,543063,664774,621453,573262,54.05,,,,,,,,65,1,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,208.0,0.0,0.04,,,,-0.04,,-1,-1,0.044,0.044,23,23,24,24,1,0,3.0,2.0,3.0,1.0,1.29,0.37,-0.37,28.2
SL,2021-10-11,88.3,-1.3,5.59,"Doval, Camilo",572041,666808,strikeout,called_strike,,,,,14.0,AJ Pollock called out on strikes.,D,R,R,LAD,SF,S,2.0,,0,2,2021,0.45,-0.24,0.86,2.44,,,,1,9,Bot,,,,,,,4.353670921434679,-128.82166829119,-1.2518253564568451,4.451435682501795,19.81179771041384,-34.90631839598421,3.49,1.74,,,,89.6,2475.0,6.4,660919,457763,592178,456781,446334,543063,664774,621453,573262,54.11,,0.0,0.0,1.0,0.0,0.0,,64,3,Slider,0,1,0,1,1,0,0,1,Standard,Strategic,54.0,-0.064,-0.16,,,,0.16,,-1,-1,0.108,0.108,23,33,24,34,1,3,3.0,2.0,3.0,3.0,3.09,-0.45,-0.45,33.5
FC,2021-10-11,99.7,-1.58,5.49,"Doval, Camilo",572041,666808,,swinging_strike,,,,,3.0,AJ Pollock called out on strikes.,D,R,R,LAD,SF,S,,,0,1,2021,-0.59,1.22,0.81,3.35,,,,1,9,Bot,,,,,,,7.962831299234641,-145.1306895084831,-3.4626496299564016,-9.909032266123424,27.53673316853189,-14.17861347572348,3.41,1.56,,,,100.7,2680.0,6.4,660919,457763,592178,456781,446334,543063,664774,621453,573262,54.08,,,,,,,,64,2,Cutter,0,1,0,1,1,0,0,1,Standard,Strategic,208.0,0.0,-0.056,,,,0.056,,-1,-1,0.108,0.108,23,33,24,34,1,3,3.0,2.0,3.0,3.0,1.04,0.59,0.59,27.3
