year,FC,FF,SI,SL
2021,40.0,0.6,0.0,59.4
2022,30.3,0.0,26.0,43.6
2023,33.900000000000006,0.3,29.599999999999998,36.3
2024,34.599999999999994,0.3,13.900000000000002,51.2
2025,39.7,0.0,2.1999999999999997,58.099999999999994
